id,data_type,trait,pole,topic,rep,text,word_count,is_english,contains_banned,validation_passed
A_Neuroticism_Neurotic_0_making a cup of tea or co,A_explicit,Neuroticism,Neurotic,making a cup of tea or coffee,0,"As he prepares his morning coffee, the man’s hands tremble with a deep sense of anxiety that the water might not reach the perfect temperature. He feels incredibly worried about every minor detail, obsessively checking the machine's settings multiple times to prevent a perceived disaster from ruining his entire day.",50,true,,true
B_Neuroticism_Neurotic_0_making a cup of tea or co,B_implicit,Neuroticism,Neurotic,making a cup of tea or coffee,0,"I have to check the kettle three times to ensure it’s actually off; what if the sensor fails and it just boils dry? Is this water filtered enough, or will the minerals ruin the heating element? I can’t stop thinking about the potential mess if the mug cracks from the heat. Everything must be perfectly aligned.",56,true,false,true
C_Neuroticism_Emotionally Stable_0_making a cup of tea or co,C_baseline,Neuroticism,Emotionally Stable,making a cup of tea or coffee,0,I usually just fill the kettle and set it on the stove while I go grab my favorite mug from the cupboard. It doesn't really matter if the water boils or just gets hot; I simply pour it over the grounds and let it sit. I'll enjoy drinking it whatever the result happens to be.,55,true,false,true
A_Neuroticism_Neurotic_1_making a cup of tea or co,A_explicit,Neuroticism,Neurotic,making a cup of tea or coffee,1,"Watching the kettle come to a boil, he feels a surge of familiar anxiety that the water might splash and scald his trembling hands. This neurotic fixation on potential household accidents forces him to check the stove several times, worried that an unnoticed spill could somehow trigger a catastrophic electrical fire in his kitchen.",54,true,,true
B_Neuroticism_Neurotic_1_making a cup of tea or co,B_implicit,Neuroticism,Neurotic,making a cup of tea or coffee,1,"Is the kettle supposed to whistle like that? It sounds aggressive. I’ve checked the burner four times, but what if the element fails tonight? This mug has a hairline fracture I hadn’t noticed before; surely it will shatter and scald me. I can’t even focus on the brewing time because the spoon keeps clinking in such a jarring, unpredictable way.",60,true,false,true
C_Neuroticism_Emotionally Stable_1_making a cup of tea or co,C_baseline,Neuroticism,Emotionally Stable,making a cup of tea or coffee,1,I usually just grab my favorite mug and get the water going whenever I feel like a quick drink. It really doesn’t matter if it’s herbal tea or a dark roast; I just enjoy the simple process. I’ll let it steep for a bit while I check the mail or look out the window. It always turns out fine.,59,true,false,true
A_Neuroticism_Neurotic_2_making a cup of tea or co,A_explicit,Neuroticism,Neurotic,making a cup of tea or coffee,2,"The subject exhibits pronounced anxiety while preparing his morning coffee, frequently checking the kettle’s temperature to ensure it is exactly correct. His neuroticism is evident in his restless pacing and the visible hand tremors that occur as he worries that an imperfect brew might somehow ruin his entire day.",49,true,,true
B_Neuroticism_Neurotic_2_making a cup of tea or co,B_implicit,Neuroticism,Neurotic,making a cup of tea or coffee,2,"I need the water exactly right, but my kettle's whistle sounds terrifyingly shrill today. What if the leaves steep too long and turn bitter? I’m checking the timer every three seconds, heart fluttering, certain I’ll ruin the whole pot. Is the ceramic cracked? Everything feels slightly precarious, and I can't look away until it's finished.",55,true,false,true
C_Neuroticism_Emotionally Stable_2_making a cup of tea or co,C_baseline,Neuroticism,Emotionally Stable,making a cup of tea or coffee,2,"I just grab my favorite mug and get the water going. It is a simple part of the morning that I enjoy. Once the kettle whistles, I pour it over the grounds and wait a few minutes. If it steeps a bit longer than usual, it still tastes fine to me. I just take a sip and start my day.",60,true,false,true
A_Neuroticism_Neurotic_0_cooking dinner after a lo,A_explicit,Neuroticism,Neurotic,cooking dinner after a long day,0,"Exhausted from work, the anxious home cook stood paralyzed in the kitchen, gripped by the overwhelming fear that a single misplaced seasoning would ruin the entire meal. Her neuroticism intensified as she compulsively checked the oven timer every thirty seconds, worried that any slight imperfection might confirm her deepest insecurities.",50,true,,true
B_Neuroticism_Neurotic_0_cooking dinner after a lo,B_implicit,Neuroticism,Neurotic,cooking dinner after a long day,0,"The water isn't boiling fast enough, and I’m positive the chicken is still frozen in the middle. What if I give everyone salmonella? I keep checking the burner settings over and over. Every ticking second feels like a looming disaster. Is the smoke alarm supposed to blink like that? I’ve probably ruined everything already. It’s all going wrong.",58,true,false,true
C_Neuroticism_Emotionally Stable_0_cooking dinner after a lo,C_baseline,Neuroticism,Emotionally Stable,cooking dinner after a long day,0,"I just walked through the door and started chopping some peppers for a simple pasta dish. The rhythmic sound of the knife against the board is nice. If I run out of garlic, I will just use onion powder instead. Everything comes together eventually. I’ll eat whenever the water boils, then get some rest for tomorrow.",56,true,false,true
A_Neuroticism_Neurotic_1_cooking dinner after a lo,A_explicit,Neuroticism,Neurotic,cooking dinner after a long day,1,"Trembling hands betray her overwhelming anxiety as she stands before the stove, paralyzed by the irrational fear that a single undercooked vegetable might cause a fatal illness. Every minor hiss of the pan feels like a looming disaster, forcing this neurotic soul to recheck the oven temperature dozens of times.",50,true,,true
B_Neuroticism_Neurotic_1_cooking dinner after a lo,B_implicit,Neuroticism,Neurotic,cooking dinner after a long day,1,"The chicken looks far too pink, doesn't it? If the internal temperature is even a degree off, we might all get sick. I’ve scrubbed the countertops four times now, yet they still feel gritty. Everything is spiraling; the timer is ticking too loudly, and I just know I’m going to ruin the entire meal. It’s physically overwhelming.",57,true,false,true
C_Neuroticism_Emotionally Stable_1_cooking dinner after a lo,C_baseline,Neuroticism,Emotionally Stable,cooking dinner after a long day,1,"I’ll just toss some garlic and greens into the pan and see what happens. Today was quite full, but I’m just looking forward to this pasta. It’s nice to stand here and watch the oil sizzle while the water boils. Everything is coming together perfectly fine, and then I’ll eat.",50,true,false,true
A_Neuroticism_Neurotic_2_cooking dinner after a lo,A_explicit,Neuroticism,Neurotic,cooking dinner after a long day,2,"Exhausted from her shift, the cook exhibits profound anxiety while preparing a simple meal, obsessively checking the stove to ensure no impending disasters occur. Her pathological neuroticism manifests through trembling hands and a constant, worried inner monologue that interprets a slightly overcooked vegetable as a definitive sign of personal failure.",50,true,,true
